,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,fe,combined_compositions,yield_strength,tensile_strength,elongation,combined_properties,elongation_predicted,combined_predicted,elongation_catagorised_true,elongation_catagorised_predicted
38,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.0,0.08,13.88,0.0,0.03,0.0,68.3,"[68.3, 0.21, 0.01, 1.99, 12.58, 0.94, 1.98, 0.01, 0.0, 0.08, 13.88, 0.0, 0.03, 0.0]",1354.2,1769.8,19.1,[1354.2 1769.8   19.1],11.937612152743569,[1447.7295538  1943.37373372   11.93761215],strong,strong
39,0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8.0,0.03,0.0,63.84,"[63.84, 0.09, 0.66, 0.27, 12.28, 0.01, 0.02, 0.01, 0.03, 0.01, 14.8, 8.0, 0.03, 0.0]",1081.1,1678.6,5.8,[1081.1 1678.6    5.8],8.37318912868346,[1253.79735679 1742.0467182     8.37318913],medium,medium
40,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.46,0.0,0.03,0.0,66.25,"[66.25, 0.12, 0.01, 0.01, 14.52, 0.01, 5.09, 0.43, 0.03, 0.01, 13.46, 0.0, 0.03, 0.0]",1515.8,2101.5,6.0,[1515.8 2101.5    6. ],14.221431934696813,[1271.28236789 1750.98261598   14.22143193],medium,strong
41,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.0,0.03,0.0,66.28,"[66.28, 0.17, 0.01, 0.01, 14.26, 0.01, 5.09, 0.41, 0.03, 0.01, 13.64, 0.0, 0.03, 0.0]",1502.0,2094.6,11.0,[1502.  2094.6   11. ],13.128350694597225,[1353.38626889 1862.2087956    13.12835069],strong,strong
42,0.01,0.05,0.05,0.01,14.7,1.5,0.01,0.0,0.01,15.3,0.0,0.76,1.16,66.42,"[66.42, 0.01, 0.05, 0.05, 0.01, 14.7, 1.5, 0.01, 0.0, 0.01, 15.3, 0.0, 0.76, 1.16]",2157.3,2239.3,8.5,[2157.3 2239.3    8.5],12.884340571549991,[1883.13613472 2027.16441944   12.88434057],medium,strong
43,0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15.0,0.0,0.03,0.0,65.91,"[65.91, 0.04, 0.55, 0.27, 12.29, 0.01, 5.85, 0.01, 0.03, 0.01, 15.0, 0.0, 0.03, 0.0]",1287.4,1891.1,11.0,[1287.4 1891.1   11. ],15.550991382339284,[1148.3459956  1612.60225105   15.55099138],strong,strong
44,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,66.32,"[66.32, 0.08, 0.01, 0.01, 14.48, 0.01, 4.99, 0.46, 0.07, 0.01, 13.56, 0.0, 0.03, 0.0]",1311.4,2016.5,13.3,[1311.4 2016.5   13.3],12.737361535696087,[1252.0975635  1799.67565788   12.73736154],strong,strong
45,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0.0,0.01,15.56,0.0,0.03,0.0,67.47,"[67.47, 0.2, 0.51, 0.52, 12.66, 1.02, 1.99, 0.01, 0.0, 0.01, 15.56, 0.0, 0.03, 0.0]",1245.4,1754.6,18.5,[1245.4 1754.6   18.5],14.570757324475654,[1436.35047833 1871.71419613   14.57075732],strong,strong
46,0.1,0.51,0.32,12.0,0.01,6.3,0.01,0.04,0.01,14.6,0.0,0.03,0.0,66.06,"[66.06, 0.1, 0.51, 0.32, 12.0, 0.01, 6.3, 0.01, 0.04, 0.01, 14.6, 0.0, 0.03, 0.0]",1155.0,1848.0,13.4,[1155.  1848.    13.4],13.384421691976044,[1245.9111086  1772.15289535   13.38442169],strong,strong
47,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0.0,0.05,0.0,66.5,"[66.5, 0.12, 0.01, 0.01, 14.4, 0.01, 4.99, 0.41, 0.03, 0.01, 13.45, 0.0, 0.05, 0.0]",1322.9,1984.3,16.0,[1322.9 1984.3   16. ],14.211720384968642,[1277.80031899 1753.46601859   14.21172038],strong,strong
48,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,65.83,"[65.83, 0.01, 0.01, 0.01, 0.01, 14.8, 2.5, 0.01, 0.0, 0.01, 15.0, 0.0, 0.03, 1.8]",1571.2,1701.7,10.6,[1571.2 1701.7   10.6],12.096636583502537,[1881.48508089 2103.69790222   12.09663658],strong,strong
49,0.01,0.01,0.01,0.01,18.5,4.8,0.43,0.0,0.01,8.7,0.0,0.95,0.72,65.84,"[65.84, 0.01, 0.01, 0.01, 0.01, 18.5, 4.8, 0.43, 0.0, 0.01, 8.7, 0.0, 0.95, 0.72]",1288.4,1453.8,20.0,[1288.4 1453.8   20. ],12.492037764028401,[1720.93049776 1802.94341801   12.49203776],strong,strong
50,0.02,0.01,1.86,15.9,4.0,0.02,0.01,0.0,0.01,9.2,0.0,0.02,0.05,68.89,"[68.89, 0.02, 0.01, 1.86, 15.9, 4.0, 0.02, 0.01, 0.0, 0.01, 9.2, 0.0, 0.02, 0.05]",1143.7,1350.4,17.0,[1143.7 1350.4   17. ],16.922555334765978,[1134.61929918 1442.95596864   16.92255533],strong,strong
51,0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0.0,0.07,0.0,66.7,"[66.7, 0.16, 0.01, 0.01, 14.36, 0.01, 5.15, 0.01, 0.03, 0.01, 13.45, 0.0, 0.07, 0.0]",1460.7,2067.0,12.0,[1460.7 2067.    12. ],13.792265089262607,[1326.36474785 1827.37398208   13.79226509],strong,strong
52,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.37,0.0,0.03,0.0,67.71,"[67.71, 0.2, 0.51, 0.51, 12.59, 1.03, 1.98, 0.01, 0.0, 0.01, 15.37, 0.0, 0.03, 0.0]",1300.3,1741.5,17.9,[1300.3 1741.5   17.9],14.561898329780604,[1434.41909695 1866.11509734   14.56189833],strong,strong
53,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02,67.33,"[67.33, 0.24, 0.01, 0.01, 8.9, 8.7, 1.5, 0.28, 0.0, 0.01, 13.0, 0.0, 0.03, 0.02]",1309.1,1757.0,14.3,[1309.1 1757.    14.3],14.351728371768893,[1571.29782938 1892.31438581   14.35172837],strong,strong
54,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,66.81,"[66.81, 0.15, 0.01, 0.01, 14.5, 0.01, 5.0, 0.01, 0.0, 0.01, 13.5, 0.0, 0.05, 0.0]",1338.0,1792.7,14.1,[1338.  1792.7   14.1],15.911983535992968,[1277.76214018 1703.02547462   15.91198354],strong,strong
55,0.01,0.01,0.01,0.01,18.5,4.7,0.01,0.0,0.01,8.8,0.0,1.02,0.71,66.19,"[66.19, 0.01, 0.01, 0.01, 0.01, 18.5, 4.7, 0.01, 0.0, 0.01, 8.8, 0.0, 1.02, 0.71]",1309.1,1495.1,19.0,[1309.1 1495.1   19. ],12.972746867692813,[1719.26745812 1796.95633923   12.97274687],strong,strong
56,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,65.85,"[65.85, 0.01, 0.01, 0.01, 0.01, 14.9, 3.15, 0.01, 0.0, 0.01, 15.3, 0.0, 0.03, 0.7]",1669.3,1726.8,10.8,[1669.3 1726.8   10.8],16.23666108999641,[1518.93336409 1690.40335906   16.23666109],strong,strong
57,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0.0,0.08,13.83,0.0,0.03,0.0,68.76,"[68.76, 0.2, 0.01, 1.5, 12.63, 0.94, 1.98, 0.01, 0.0, 0.08, 13.83, 0.0, 0.03, 0.0]",1382.2,1764.8,18.5,[1382.2 1764.8   18.5],12.988809078446405,[1424.97272771 1887.92209537   12.98880908],strong,strong
58,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,67.84,"[67.84, 0.01, 0.01, 0.01, 8.14, 11.95, 0.02, 0.01, 0.0, 0.01, 10.48, 0.0, 0.39, 1.11]",1768.0,1828.6,,[1768.  1828.6    nan],14.93732056713834,[1661.850083   1822.02393953   14.93732057],,strong
59,0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0.0,0.03,0.0,67.34,"[67.34, 0.09, 0.63, 0.37, 12.3, 0.01, 3.97, 0.01, 0.04, 0.01, 15.2, 0.0, 0.03, 0.0]",1131.9,1595.4,13.4,[1131.9 1595.4   13.4],14.167864554690551,[1264.98998083 1755.19731258   14.16786455],strong,strong
60,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0,67.18,"[67.18, 0.15, 0.01, 0.01, 14.13, 0.14, 4.8, 0.21, 0.0, 0.01, 13.33, 0.0, 0.03, 0.0]",1341.7,1745.5,18.5,[1341.7 1745.5   18.5],15.674226174820951,[1284.90314351 1701.08554442   15.67422617],strong,strong
61,0.0,0.01,0.01,11.85,10.25,1.47,0.01,0.0,0.01,7.48,0.0,0.43,0.56,67.96,"[67.96, 0.0, 0.01, 0.01, 11.85, 10.25, 1.47, 0.01, 0.0, 0.01, 7.48, 0.0, 0.43, 0.56]",1586.7,1671.3,,[1586.7 1671.3    nan],16.922447010266303,[1390.49676639 1546.8816848    16.92244701],,strong
62,0.0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0.0,0.03,0.0,66.43,"[66.43, 0.0, 0.01, 0.01, 10.09, 6.98, 5.48, 0.01, 0.01, 0.01, 10.96, 0.0, 0.03, 0.0]",1373.9,1640.2,11.4,[1373.9 1640.2   11.4],18.306424850050643,[1086.59912927 1357.6768345    18.30642485],strong,strong
63,0.01,0.01,0.01,0.01,18.5,4.9,0.39,0.0,0.01,8.7,0.0,0.51,0.65,66.29,"[66.29, 0.01, 0.01, 0.01, 0.01, 18.5, 4.9, 0.39, 0.0, 0.01, 8.7, 0.0, 0.51, 0.65]",1164.4,1371.1,22.0,[1164.4 1371.1   22. ],13.935121771709756,[1577.7026396  1673.66156844   13.93512177],strong,strong
64,0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0.0,0.05,0.0,68.11,"[68.11, 0.16, 0.01, 0.01, 14.36, 0.01, 3.01, 0.97, 0.03, 0.01, 13.33, 0.0, 0.05, 0.0]",1240.2,1598.5,14.0,[1240.2 1598.5   14. ],13.062296207245522,[1392.09659919 1852.14599167   13.06229621],strong,strong
65,0.19,0.46,0.49,12.67,0.95,1.49,0.01,0.0,0.01,15.1,0.0,0.03,0.0,68.61,"[68.61, 0.19, 0.46, 0.49, 12.67, 0.95, 1.49, 0.01, 0.0, 0.01, 15.1, 0.0, 0.03, 0.0]",1250.8,1737.4,18.1,[1250.8 1737.4   18.1],14.958662074472723,[1421.08918747 1833.46577198   14.95866207],strong,strong
66,0.11,0.01,0.01,9.2,3.7,2.0,0.5,0.0,0.01,16.7,0.0,0.03,0.03,67.73,"[67.73, 0.11, 0.01, 0.01, 9.2, 3.7, 2.0, 0.5, 0.0, 0.01, 16.7, 0.0, 0.03, 0.03]",1453.8,1701.8,17.0,[1453.8 1701.8   17. ],16.689441452463562,[1374.82133542 1691.96410219   16.68944145],strong,strong
67,0.19,0.02,0.49,12.54,0.96,1.49,0.46,0.0,0.01,15.1,0.0,0.03,0.0,68.69,"[68.69, 0.19, 0.02, 0.49, 12.54, 0.96, 1.49, 0.46, 0.0, 0.01, 15.1, 0.0, 0.03, 0.0]",1241.0,1719.7,18.5,[1241.  1719.7   18.5],14.489549615070521,[1443.2254074  1847.58656466   14.48954962],strong,strong
68,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0.0,0.08,15.16,0.0,0.03,0.0,68.53,"[68.53, 0.2, 0.01, 0.51, 12.51, 0.95, 1.98, 0.01, 0.0, 0.08, 15.16, 0.0, 0.03, 0.0]",1314.2,1775.6,15.3,[1314.2 1775.6   15.3],14.770336245546874,[1429.57350622 1852.68899465   14.77033625],strong,strong
69,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.0,0.04,0.0,67.63,"[67.63, 0.15, 0.01, 0.01, 14.36, 0.01, 5.09, 0.41, 0.03, 0.01, 12.23, 0.0, 0.04, 0.0]",1471.0,1939.6,12.5,[1471.  1939.6   12.5],13.447250420247501,[1307.99527295 1789.24704471   13.44725042],strong,strong
70,0.16,0.01,0.01,14.4,0.01,5.28,0.41,0.13,0.01,11.74,0.0,0.04,0.0,67.8,"[67.8, 0.16, 0.01, 0.01, 14.4, 0.01, 5.28, 0.41, 0.13, 0.01, 11.74, 0.0, 0.04, 0.0]",1646.7,2149.7,10.0,[1646.7 2149.7   10. ],7.243258706624685,[1415.52567881 2133.15031986    7.24325871],medium,medium
